,stroma,plasmablast-enriched stroma,lymphoid structure,tumor-stroma boundary,myeloid-enriched stroma,tumor interior
325,0.10054803,0.27492395,0.045666635,0.17390415,0.07580401,0.3291532
326,0.104585,0.30397937,0.04649847,0.17594561,0.04617401,0.32281762
327,0.101751074,0.3320626,0.04636903,0.17119199,0.05204597,0.29657936
328,0.09055605,0.28853285,0.05329887,0.15960015,0.09465425,0.31335786
329,0.12567312,0.23639241,0.037206482,0.19963512,0.07922674,0.32186612
330,0.1874645,0.20419045,0.021157343,0.24905822,0.054500803,0.28362867
331,0.13955252,0.20871064,0.037467156,0.20649832,0.09507911,0.31269222
332,0.13580932,0.1918222,0.047594763,0.19396684,0.13212007,0.2986868
333,0.13509127,0.17002444,0.03404133,0.20473066,0.12802576,0.32808653
334,0.090201214,0.15373151,0.057216734,0.15995988,0.12127022,0.4176205
335,0.09075614,0.17520157,0.050907858,0.16413422,0.12430429,0.394696
336,0.11000353,0.19657736,0.053451072,0.1750252,0.1478644,0.3170784
337,0.10159924,0.22690617,0.07655752,0.15333603,0.1968665,0.24473459
338,0.10475961,0.22106367,0.07295037,0.15519653,0.2142358,0.23179401
339,0.14125891,0.24366689,0.088012,0.16482727,0.18045409,0.18178083
340,0.0794792,0.19375399,0.1315786,0.11676268,0.27357855,0.20484698
341,0.095599376,0.2280882,0.1088094,0.1361607,0.20613186,0.22521038
342,0.10509441,0.20967838,0.13029027,0.13483849,0.2094433,0.21065517
343,0.106072515,0.24220502,0.115586914,0.13728137,0.20774056,0.19111362
344,0.10898675,0.22667386,0.098951824,0.14302467,0.23251963,0.18984325
345,0.13258748,0.27281457,0.103793204,0.15713264,0.1501811,0.18349107
346,0.2056398,0.24443784,0.12572865,0.16479343,0.13266762,0.12673268
347,0.23401822,0.24362107,0.17147194,0.15858944,0.07887399,0.113425344
348,0.12990946,0.18140078,0.18552437,0.11854746,0.25457683,0.13004115
349,0.13492653,0.15381013,0.2547849,0.098226465,0.25617856,0.10207341
350,0.15833881,0.12868625,0.22523157,0.10520658,0.27699536,0.105541386
351,0.15052846,0.18939029,0.23203129,0.098599344,0.24688403,0.08256665
352,0.138263,0.21396425,0.26065058,0.08765887,0.22803558,0.07142772
353,0.16208571,0.18512347,0.2862198,0.091560215,0.19653593,0.07847485
354,0.1291307,0.1956917,0.29532948,0.08975861,0.19985086,0.09023859
355,0.11677339,0.1709478,0.29704723,0.088316694,0.22732773,0.09958719
356,0.1342978,0.21629946,0.26622078,0.08738708,0.2221945,0.07360044
357,0.11935522,0.16104743,0.26070368,0.088710025,0.28071657,0.0894671
358,0.14283405,0.1974095,0.2593925,0.08924197,0.23740046,0.07372155
359,0.13922653,0.18834762,0.232447,0.10092258,0.24549918,0.0935571
360,0.17544849,0.2178088,0.16836411,0.110581726,0.25534213,0.07245475
