,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
205,0.15620345,0.17334652,0.061455324,0.06773522,0.22350453,0.11575274,0.025158916,0.17684329
206,0.15118822,0.18339384,0.061903797,0.06518987,0.23254122,0.11868332,0.024669006,0.16243076
207,0.14754984,0.19637075,0.058064062,0.05875379,0.24753971,0.1198552,0.021440014,0.15042661
208,0.127053,0.25128844,0.043778498,0.034701042,0.31760615,0.120445155,0.011432583,0.0936951
209,0.118783005,0.2672998,0.039817676,0.02887512,0.3390314,0.1190847,0.009351298,0.07775701
210,0.1263524,0.24163133,0.053690657,0.041391667,0.30278966,0.12567772,0.01674806,0.09171852
211,0.12395181,0.26276547,0.036861878,0.02898087,0.33349043,0.116223946,0.008307245,0.08941837
212,0.100444525,0.27302083,0.06064219,0.031719092,0.33795437,0.13196869,0.019047415,0.045202855
213,0.0956253,0.28672346,0.05292904,0.026476687,0.3541625,0.12840495,0.014779397,0.04089868
214,0.117446214,0.22140881,0.08452211,0.058312926,0.26611438,0.13608336,0.040371325,0.07574082
215,0.09629018,0.2853506,0.05410982,0.027350621,0.3503265,0.1290751,0.0155100245,0.041987214
