,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
217,0.07177033,0.24880382,0.16267942,0.04784689,0.27751195,0.19138756,0.0,0.0
218,0.10194175,0.20873787,0.14563107,0.053398058,0.30097088,0.18932039,0.0,0.0
219,0.048309177,0.2173913,0.19806764,0.019323671,0.35748792,0.1594203,0.0,0.0
220,0.053333335,0.21777777,0.22222222,0.022222223,0.32444444,0.16,0.0,0.0
221,0.06140351,0.24561404,0.22807017,0.02631579,0.28947368,0.1491228,0.0,0.0
222,0.057692308,0.27884614,0.19711539,0.03846154,0.31730768,0.11057692,0.0,0.0
223,0.06635071,0.23696682,0.14691943,0.033175357,0.3127962,0.17535545,0.028436018,0.0
224,0.055276383,0.24120604,0.10552764,0.04522613,0.3316583,0.18090452,0.040201005,0.0
225,0.052884616,0.29326922,0.10576923,0.048076924,0.26923078,0.17788461,0.052884616,0.0
226,0.041450776,0.27979276,0.05699482,0.07772021,0.2642487,0.25906736,0.020725388,0.0
227,0.023923445,0.2583732,0.07177033,0.04784689,0.33014354,0.25358853,0.014354067,0.0
228,0.01,0.24,0.095,0.04,0.295,0.29,0.03,0.0
229,0.01843318,0.22119816,0.10138249,0.004608295,0.359447,0.26728112,0.02764977,0.0
230,0.005235602,0.21465969,0.09947644,0.02617801,0.37696335,0.2408377,0.036649216,0.0
231,0.03468208,0.17919075,0.10982659,0.011560693,0.37572256,0.2716763,0.01734104,0.0
232,0.03960396,0.18316832,0.09405941,0.024752475,0.32178217,0.3019802,0.034653466,0.0
233,0.049751244,0.1840796,0.11940298,0.024875622,0.24875621,0.35820895,0.014925373,0.0
234,0.04597701,0.20689656,0.17816092,0.022988506,0.22988506,0.31609195,0.0,0.0
235,0.032608695,0.20108695,0.2228261,0.032608695,0.27173913,0.23913044,0.0,0.0
236,0.072289154,0.20481928,0.19879518,0.006024096,0.3253012,0.19277108,0.0,0.0
237,0.06282722,0.13089006,0.20942408,0.03141361,0.34031415,0.22513089,0.0,0.0
238,0.06542056,0.1448598,0.18691589,0.018691588,0.3224299,0.26168224,0.0,0.0
239,0.073891625,0.14778325,0.14778325,0.049261082,0.33990148,0.23152709,0.009852217,0.0
240,0.07253886,0.15025906,0.15025906,0.041450776,0.32124352,0.24352331,0.015544041,0.005181347
241,0.07619048,0.12857144,0.09047619,0.03809524,0.41428572,0.18095239,0.028571429,0.042857144
242,0.077319585,0.21649484,0.1185567,0.030927835,0.32474226,0.10824742,0.067010306,0.05670103
243,0.08152174,0.21195652,0.07608695,0.032608695,0.29891303,0.097826086,0.11413044,0.08695652
244,0.065656565,0.23737374,0.08080808,0.02020202,0.3181818,0.09090909,0.10606061,0.08080808
245,0.07027027,0.19459459,0.075675674,0.027027028,0.37297297,0.08648649,0.10810811,0.06486487
246,0.07048458,0.19823788,0.04405286,0.026431719,0.2907489,0.15418503,0.1277533,0.08810572
247,0.024038462,0.17307693,0.048076924,0.028846154,0.33173078,0.14423077,0.16346154,0.086538464
248,0.02347418,0.16901408,0.037558686,0.04225352,0.3568075,0.11737089,0.14553991,0.10798122
249,0.048309177,0.26086956,0.024154589,0.04347826,0.28502417,0.10628019,0.14492753,0.08695652
250,0.037383176,0.24299066,0.046728972,0.037383176,0.26168224,0.088785045,0.17289719,0.11214953
251,0.032432433,0.2972973,0.043243244,0.043243244,0.26486486,0.05945946,0.17837837,0.08108108
252,0.02538071,0.26903552,0.020304568,0.030456852,0.31979695,0.060913704,0.16751269,0.10659899
253,0.015228426,0.2538071,0.030456852,0.030456852,0.3248731,0.035532996,0.18781726,0.12182741
254,0.015228426,0.30456853,0.030456852,0.04568528,0.26903552,0.060913704,0.14720812,0.12690355
255,0.021978023,0.2747253,0.032967035,0.032967035,0.2967033,0.054945055,0.16483517,0.12087912
256,0.009756098,0.28292683,0.048780486,0.034146342,0.24390244,0.068292685,0.18536586,0.12682927
257,0.0,0.34042552,0.04964539,0.014184397,0.24113475,0.08510638,0.120567374,0.14893617
258,0.0049261083,0.2955665,0.049261082,0.03448276,0.2955665,0.06896552,0.12807882,0.12315271
259,0.005235602,0.28795812,0.041884817,0.03141361,0.31413612,0.07329843,0.109947644,0.13612565
260,0.02173913,0.26086956,0.02173913,0.032608695,0.26086956,0.10869565,0.16847827,0.125
